No,Date,O1,O2,O3,O4,O5,O6,R1,R2,R3,R4,R5,R6,B1,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
8031,2008/3/18,6,31,21,3,11,15,3,6,11,15,21,31,13,87,14.5,17,5,1,4,3,0,2,4,-2,4,9,0,0,28,10,0,2,1
8030,2008/3/16,15,28,18,19,20,6,6,15,18,19,20,28,11,106,17.67,36,2,4,-2,0,1,4,2,2,5,7,2,1,22,9,0,0,2
8029,2008/3/13,9,1,14,22,29,32,1,9,14,22,29,32,12,107,17.83,27,3,3,0,1,1,3,3,0,4,8,0,0,31,8,3,3,2
8028,2008/3/11,26,1,32,29,13,21,1,13,21,26,29,32,10,122,20.33,22,4,2,2,2,0,4,2,2,5,8,0,0,31,12,0,1,0
8027,2008/3/9,18,23,24,26,19,15,15,18,19,23,24,26,13,125,20.83,35,3,3,0,1,1,5,1,4,6,5,2,2,11,4,1,1,2
8026,2008/3/6,5,29,17,19,32,27,5,17,19,27,29,32,3,129,21.5,39,5,1,4,4,0,5,1,4,4,7,0,0,27,12,0,2,2
8025,2008/3/4,17,8,21,19,16,18,8,16,17,18,19,21,14,99,16.5,39,3,3,0,1,1,4,2,2,5,5,3,1,13,8,0,1,2
8024,2008/3/2,28,20,26,30,11,21,11,20,21,26,28,30,13,136,22.67,16,2,4,-2,0,2,5,1,4,4,7,1,1,19,9,0,1,1
8023,2008/2/28,18,25,32,8,16,26,8,16,18,25,26,32,2,125,20.83,35,1,5,-4,0,3,4,2,2,4,7,1,1,24,8,1,2,1
8022,2008/2/26,28,24,32,12,20,18,12,18,20,24,28,32,5,134,22.33,24,0,6,-6,0,5,5,1,4,4,4,0,0,20,6,0,3,2
8021,2008/2/24,12,26,20,28,19,9,9,12,19,20,26,28,15,114,19,34,2,4,-2,0,2,4,2,2,5,8,1,1,19,7,0,1,2
8020,2008/2/21,28,30,15,10,3,13,3,10,13,15,28,30,3,99,16.5,19,3,3,0,1,1,2,4,-2,4,8,0,0,27,13,0,0,4
8019,2008/2/19,31,9,11,2,17,27,2,9,11,17,27,31,5,97,16.17,27,5,1,4,4,0,3,3,0,4,10,0,0,29,10,1,1,1
8018,2008/2/17,33,23,6,5,2,26,2,5,6,23,26,33,13,95,15.83,25,3,3,0,0,0,3,3,0,4,8,1,1,31,17,2,2,2
8017,2008/2/14,20,22,2,7,17,5,2,5,7,17,20,22,2,73,12.17,23,3,3,0,2,1,3,3,0,4,5,0,0,20,10,0,0,3
8016,2008/2/5,14,3,21,29,12,33,3,12,14,21,29,33,13,112,18.67,22,4,2,2,2,1,3,3,0,5,9,0,0,30,9,2,2,1
8015,2008/2/3,33,8,6,29,11,16,6,8,11,16,29,33,3,103,17.17,33,3,3,0,1,1,2,4,-2,5,9,0,0,27,13,1,1,2
8014,2008/1/31,11,31,3,21,17,9,3,9,11,17,21,31,14,92,15.33,22,6,0,6,5,0,3,3,0,4,6,0,0,28,10,0,0,4
8013,2008/1/29,28,8,2,15,16,22,2,8,15,16,22,28,10,91,15.17,31,1,5,-4,0,3,2,4,-2,4,4,1,1,26,7,1,1,2
8012,2008/1/27,20,5,3,16,4,30,3,4,5,16,20,30,13,78,13,18,2,4,-2,0,2,2,4,-2,5,9,2,1,27,11,0,1,3
8011,2008/1/24,17,14,30,21,32,2,2,14,17,21,30,32,3,116,19.33,16,2,4,-2,1,2,4,2,2,5,9,0,0,30,12,0,2,1
8010,2008/1/22,3,8,27,17,21,11,3,8,11,17,21,27,9,87,14.5,27,5,1,4,3,0,3,3,0,4,8,0,0,24,6,0,1,1
8009,2008/1/20,21,31,32,9,30,29,9,21,29,30,31,32,16,152,25.33,22,4,2,2,2,0,5,1,4,4,7,3,1,23,12,0,0,0
8008,2008/1/17,2,16,27,15,23,26,2,15,16,23,26,27,7,109,18.17,29,3,3,0,0,0,3,3,0,5,8,2,2,25,13,0,1,3
8007,2008/1/15,30,22,13,17,23,1,1,13,17,22,23,30,11,106,17.67,16,4,2,2,2,0,4,2,2,5,10,1,1,29,12,1,2,3
8006,2008/1/13,18,27,14,22,16,1,1,14,16,18,22,27,14,98,16.33,28,2,4,-2,0,3,3,3,0,6,7,0,0,26,13,0,1,2
8005,2008/1/10,3,24,25,22,15,5,3,5,15,22,24,25,15,94,15.67,24,4,2,2,2,1,3,3,0,4,7,1,1,22,10,0,1,4
8004,2008/1/8,29,27,8,4,23,22,4,8,22,23,27,29,8,113,18.83,33,3,3,0,2,2,4,2,2,6,8,1,1,25,14,1,1,0
8003,2008/1/6,17,8,6,13,11,19,6,8,11,13,17,19,12,74,12.33,34,4,2,2,3,1,2,4,-2,6,5,0,0,13,4,0,0,2
8002,2008/1/3,4,18,22,25,3,29,3,4,18,22,25,29,9,101,16.83,31,3,3,0,1,2,4,2,2,6,8,1,1,26,14,2,2,1
8001,2008/1/1,14,29,4,9,7,2,2,4,7,9,14,29,3,65,10.83,35,3,3,0,1,1,1,5,-4,4,6,0,0,27,15,1,1,1
7153,2007/12/30,4,1,31,20,19,25,1,4,19,20,25,31,15,100,16.67,20,4,2,2,1,0,4,2,2,5,9,1,1,30,15,0,0,2
7152,2007/12/27,30,17,21,29,11,33,11,17,21,29,30,33,8,141,23.5,21,5,1,4,3,0,5,1,4,5,8,1,1,22,8,0,1,1
7151,2007/12/25,11,23,6,25,10,1,1,6,10,11,23,25,2,76,12.67,16,4,2,2,2,1,2,4,-2,5,9,1,1,24,12,0,1,4
7150,2007/12/23,13,11,3,5,24,19,3,5,11,13,19,24,5,75,12.5,25,5,1,4,4,0,2,4,-2,5,6,0,0,21,6,0,1,0
7149,2007/12/20,1,19,30,28,17,22,1,17,19,22,28,30,3,117,19.5,27,3,3,0,2,2,5,1,4,6,8,0,0,29,16,0,2,2
7148,2007/12/18,28,3,17,16,23,9,3,9,16,17,23,28,7,96,16,36,4,2,2,2,0,3,3,0,5,7,1,1,25,7,1,1,3
7147,2007/12/16,24,26,18,7,3,27,3,7,18,24,26,27,4,105,17.5,35,3,3,0,1,2,4,2,2,5,10,1,1,24,11,2,3,2
7146,2007/12/13,18,4,30,24,22,26,4,18,22,24,26,30,9,124,20.67,24,0,6,-6,0,5,5,1,4,5,5,0,0,26,14,0,0,3
7145,2007/12/11,31,11,25,9,8,12,8,9,11,12,25,31,11,96,16,26,4,2,2,2,0,2,4,-2,5,8,2,2,23,13,1,2,2
7144,2007/12/9,8,28,14,32,25,23,8,14,23,25,28,32,16,130,21.67,30,2,4,-2,1,2,4,2,2,5,9,0,0,24,9,0,1,2
7143,2007/12/6,24,26,22,1,23,6,1,6,22,23,24,26,4,102,17,22,2,4,-2,0,2,4,2,2,5,8,2,1,25,16,0,1,2
7142,2007/12/4,30,25,20,26,11,27,11,20,25,26,27,30,8,139,23.17,19,3,3,0,0,0,5,1,4,5,8,2,1,19,9,0,0,1
7141,2007/12/2,3,31,6,2,17,4,2,3,4,6,17,31,8,63,10.5,23,3,3,0,1,1,2,4,-2,6,7,2,1,29,14,0,0,4
7140,2007/11/29,1,5,22,26,16,21,1,5,16,21,22,26,11,91,15.17,21,3,3,0,1,1,3,3,0,4,7,1,1,25,11,0,2,2
7139,2007/11/27,6,16,14,10,22,12,6,10,12,14,16,22,6,80,13.33,20,0,6,-6,0,5,1,5,-4,4,2,0,0,16,6,0,0,2
7138,2007/11/25,25,17,19,3,2,15,2,3,15,17,19,25,16,81,13.5,31,5,1,4,4,0,3,3,0,5,9,1,1,23,12,0,1,3
7137,2007/11/22,20,8,22,7,18,3,3,7,8,18,20,22,3,78,13,28,2,4,-2,1,3,3,3,0,5,7,1,1,19,10,0,1,3
7136,2007/11/20,25,1,18,2,21,29,1,2,18,21,25,29,14,96,16,26,4,2,2,2,1,4,2,2,5,9,1,1,28,16,1,1,2
7135,2007/11/18,11,16,1,31,33,26,1,11,16,26,31,33,16,118,19.67,18,4,2,2,2,1,3,3,0,3,6,0,0,32,10,1,1,2
7134,2007/11/15,1,10,4,18,13,25,1,4,10,13,18,25,15,71,11.83,21,3,3,0,0,1,2,4,-2,6,7,0,0,24,7,0,1,2
7133,2007/11/13,6,33,13,11,7,3,3,6,7,11,13,33,10,73,12.17,23,5,1,4,3,0,1,5,-4,4,9,1,1,30,20,0,0,0
7132,2007/11/11,22,23,1,21,9,16,1,9,16,21,22,23,5,92,15.33,22,4,2,2,1,0,3,3,0,5,8,2,1,22,8,1,2,2
7131,2007/11/8,5,22,7,3,27,16,3,5,7,16,22,27,5,80,13.33,30,4,2,2,2,1,2,4,-2,5,8,0,0,24,9,2,3,0
7130,2007/11/6,5,9,31,27,3,11,3,5,9,11,27,31,4,86,14.33,26,6,0,6,5,0,2,4,-2,5,6,0,0,28,16,0,1,1
7129,2007/11/4,7,20,22,21,5,30,5,7,20,21,22,30,8,105,17.5,15,3,3,0,1,1,4,2,2,5,7,2,1,25,13,1,1,3
7128,2007/11/1,27,21,31,19,10,9,9,10,19,21,27,31,5,117,19.5,27,5,1,4,3,0,4,2,2,4,8,1,1,22,9,0,1,2
7127,2007/10/30,28,13,9,24,16,6,6,9,13,16,24,28,11,96,16,36,2,4,-2,1,2,2,4,-2,5,6,0,0,22,8,0,1,2
7126,2007/10/28,31,26,10,19,9,23,9,10,19,23,26,31,9,118,19.67,28,4,2,2,1,0,4,2,2,5,10,1,1,22,9,0,0,2
7125,2007/10/25,5,33,3,27,18,20,3,5,18,20,27,33,1,106,17.67,26,4,2,2,2,1,4,2,2,5,6,0,0,30,13,1,1,3
7124,2007/10/23,19,3,32,7,13,16,3,7,13,16,19,32,16,90,15,30,4,2,2,2,0,2,4,-2,5,6,0,0,29,13,1,2,1
7123,2007/10/21,28,1,23,13,15,32,1,13,15,23,28,32,2,112,18.67,22,4,2,2,3,1,3,3,0,5,10,0,0,31,12,1,1,1
7122,2007/10/18,7,4,32,24,26,19,4,7,19,24,26,32,9,112,18.67,32,2,4,-2,1,2,4,2,2,5,10,0,0,28,12,0,0,2
7121,2007/10/16,21,3,28,22,10,27,3,10,21,22,27,28,6,111,18.5,21,3,3,0,0,0,4,2,2,6,6,2,2,25,11,0,0,1
7120,2007/10/14,12,7,18,11,6,25,6,7,11,12,18,25,1,79,13.17,29,3,3,0,1,1,2,4,-2,6,6,2,2,19,7,1,2,2
7119,2007/10/11,31,8,25,3,11,13,3,8,11,13,25,31,12,91,15.17,21,5,1,4,3,0,2,4,-2,4,9,0,0,28,12,1,1,3
7118,2007/10/9,32,18,4,25,16,10,4,10,16,18,25,32,15,105,17.5,25,1,5,-4,0,3,3,3,0,6,7,0,0,28,7,1,2,3
7117,2007/10/7,32,7,26,10,9,3,3,7,9,10,26,32,1,87,14.5,27,3,3,0,2,2,2,4,-2,6,8,1,1,29,16,1,2,2
7116,2007/10/4,11,5,7,27,17,3,3,5,7,11,17,27,13,70,11.67,30,6,0,6,5,0,2,4,-2,4,6,0,0,24,10,1,1,3
7115,2007/10/2,16,20,1,26,10,5,1,5,10,16,20,26,2,78,13,18,2,4,-2,1,3,2,4,-2,4,6,0,0,25,6,0,1,2
7114,2007/9/30,27,12,15,5,33,24,5,12,15,24,27,33,5,116,19.33,26,4,2,2,1,0,3,3,0,5,7,0,0,28,9,0,0,3
7113,2007/9/27,18,23,31,25,26,4,4,18,23,25,26,31,10,127,21.17,27,3,3,0,1,1,5,1,4,6,8,1,1,27,14,0,1,2
7112,2007/9/25,16,7,32,14,25,11,7,11,14,16,25,32,11,105,17.5,25,3,3,0,1,1,2,4,-2,6,7,0,0,25,9,0,0,3
7111,2007/9/23,17,9,12,13,2,10,2,9,10,12,13,17,11,63,10.5,23,3,3,0,1,1,1,5,-4,5,5,2,2,15,7,1,1,0
7110,2007/9/20,7,4,15,28,2,24,2,4,7,15,24,28,3,80,13.33,30,2,4,-2,1,2,2,4,-2,5,9,0,0,26,9,2,2,3
7109,2007/9/18,1,7,14,13,4,8,1,4,7,8,13,14,4,47,7.83,27,3,3,0,0,0,0,6,-6,5,5,2,2,13,5,0,2,4
7108,2007/9/16,33,12,7,20,13,3,3,7,12,13,20,33,2,88,14.67,18,4,2,2,1,0,2,4,-2,4,9,1,1,30,13,0,0,2
7107,2007/9/13,28,9,8,2,24,18,2,8,9,18,24,28,10,89,14.83,39,1,5,-4,0,3,3,3,0,4,7,1,1,26,9,0,2,2
7106,2007/9/11,12,18,21,24,25,29,12,18,21,24,25,29,8,129,21.5,29,3,3,0,1,1,5,1,4,6,7,1,1,17,6,1,1,2
7105,2007/9/9,17,7,10,29,23,2,2,7,10,17,23,29,14,88,14.67,28,4,2,2,2,0,3,3,0,5,9,0,0,27,7,1,1,1
7104,2007/9/6,20,8,12,14,32,2,2,8,12,14,20,32,4,88,14.67,18,0,6,-6,0,5,2,4,-2,4,5,0,0,30,12,1,1,1
7103,2007/9/4,25,7,27,32,30,9,7,9,25,27,30,32,1,130,21.67,30,4,2,2,3,1,4,2,2,5,5,0,0,25,16,0,0,3
7102,2007/9/2,18,8,33,6,4,20,4,6,8,18,20,33,11,89,14.83,29,1,5,-4,0,4,3,3,0,5,6,0,0,29,13,0,1,1
7101,2007/8/30,18,16,15,22,30,21,15,16,18,21,22,30,14,122,20.33,22,2,4,-2,0,2,4,2,2,6,7,2,2,15,8,0,2,1
7100,2007/8/28,18,27,29,30,32,8,8,18,27,29,30,32,6,144,24,34,2,4,-2,1,2,5,1,4,5,8,1,1,24,10,0,1,2
7099,2007/8/26,31,3,33,4,27,14,3,4,14,27,31,33,5,112,18.67,22,4,2,2,2,1,3,3,0,4,10,1,1,30,13,0,1,2
7098,2007/8/23,3,2,19,11,5,20,2,3,5,11,19,20,12,60,10,20,4,2,2,3,0,2,4,-2,6,6,2,2,18,8,0,0,3
7097,2007/8/21,4,13,26,18,30,8,4,8,13,18,26,30,11,99,16.5,29,1,5,-4,0,3,3,3,0,5,7,0,0,26,8,0,1,1
7096,2007/8/19,32,22,10,9,20,30,9,10,20,22,30,32,8,123,20.5,13,1,5,-4,0,4,4,2,2,3,6,1,1,23,10,1,1,2
7095,2007/8/16,8,6,32,18,1,29,1,6,8,18,29,32,7,94,15.67,34,2,4,-2,0,2,3,3,0,5,10,0,0,31,11,1,2,2
7094,2007/8/14,19,3,24,18,5,32,3,5,18,19,24,32,2,101,16.83,31,3,3,0,1,1,4,2,2,6,8,1,1,29,13,0,2,1
7093,2007/8/12,13,5,10,19,29,15,5,10,13,15,19,29,2,91,15.17,31,5,1,4,3,0,2,4,-2,4,7,0,0,24,10,0,0,3
7092,2007/8/9,24,14,23,18,22,33,14,18,22,23,24,33,9,134,22.33,24,2,4,-2,0,2,5,1,4,4,6,2,1,19,9,0,0,2
7091,2007/8/7,30,11,32,17,31,2,2,11,17,30,31,32,7,123,20.5,13,3,3,0,1,0,4,2,2,4,8,2,1,30,13,1,3,3
7090,2007/8/5,30,31,27,5,13,11,5,11,13,27,30,31,2,117,19.5,17,5,1,4,3,0,3,3,0,5,10,1,1,26,14,0,0,1
7089,2007/8/2,19,28,8,7,3,15,3,7,8,15,19,28,3,80,13.33,40,4,2,2,2,0,2,4,-2,5,8,1,1,25,9,0,1,2
7088,2007/7/31,28,2,33,4,10,29,2,4,10,28,29,33,6,106,17.67,26,2,4,-2,1,3,3,3,0,6,10,1,1,31,18,0,1,2
7087,2007/7/29,21,3,5,4,8,1,1,3,4,5,8,21,9,42,7,22,4,2,2,1,0,1,5,-4,5,6,2,1,20,13,0,2,2
7086,2007/7/26,8,5,29,27,22,14,5,8,14,22,27,29,16,105,17.5,35,3,3,0,1,2,3,3,0,6,10,0,0,24,8,0,1,1
7085,2007/7/24,30,2,29,19,17,12,2,12,17,19,29,30,12,109,18.17,29,3,3,0,2,1,4,2,2,4,8,1,1,28,10,0,1,1
7084,2007/7/22,14,20,12,6,27,10,6,10,12,14,20,27,10,89,14.83,19,1,5,-4,0,4,2,4,-2,5,6,0,0,21,7,0,2,4
7083,2007/7/19,14,21,11,18,26,20,11,14,18,20,21,26,5,110,18.33,20,2,4,-2,0,2,4,2,2,5,7,1,1,15,5,0,1,3
7082,2007/7/17,32,17,5,15,25,18,5,15,17,18,25,32,15,112,18.67,32,4,2,2,2,0,4,2,2,4,8,1,1,27,10,0,1,4
7081,2007/7/15,24,33,19,15,9,14,9,14,15,19,24,33,13,114,19,34,4,2,2,1,0,3,3,0,4,6,1,1,24,9,0,1,3
7080,2007/7/12,18,8,29,16,1,19,1,8,16,18,19,29,4,91,15.17,41,3,3,0,1,2,3,3,0,4,8,1,1,28,10,0,0,1
7079,2007/7/10,20,25,3,14,21,4,3,4,14,20,21,25,14,87,14.5,17,3,3,0,1,2,3,3,0,5,7,2,2,22,10,0,2,1
7078,2007/7/8,7,23,4,6,25,32,4,6,7,23,25,32,1,97,16.17,27,3,3,0,2,1,3,3,0,6,8,1,1,28,16,0,1,1
7077,2007/7/5,14,28,6,8,21,29,6,8,14,21,28,29,2,106,17.67,36,2,4,-2,0,2,3,3,0,5,7,1,1,23,7,1,1,2
7076,2007/7/3,6,16,15,12,20,31,6,12,15,16,20,31,2,100,16.67,20,2,4,-2,0,2,2,4,-2,5,9,1,1,25,11,0,1,4
7075,2007/7/1,17,22,32,13,16,30,13,16,17,22,30,32,3,130,21.67,20,2,4,-2,0,2,4,2,2,5,10,1,1,19,8,0,1,1
7074,2007/6/28,28,13,27,25,15,8,8,13,15,25,27,28,3,116,19.33,36,4,2,2,3,0,3,3,0,4,8,1,1,20,10,0,1,2
7073,2007/6/26,11,28,5,31,9,19,5,9,11,19,28,31,2,103,17.17,33,5,1,4,3,0,3,3,0,4,10,0,0,26,9,0,0,2
7072,2007/6/24,4,13,14,33,2,8,2,4,8,13,14,33,16,74,12.33,24,2,4,-2,0,2,1,5,-4,4,9,1,1,31,19,0,1,2
7071,2007/6/21,1,14,21,31,6,30,1,6,14,21,30,31,9,103,17.17,13,3,3,0,0,1,3,3,0,4,10,1,1,30,9,0,2,2
7070,2007/6/19,18,30,15,6,17,8,6,8,15,17,18,30,12,94,15.67,34,2,4,-2,1,2,3,3,0,5,7,1,1,24,12,0,0,1
7069,2007/6/17,32,12,4,3,14,11,3,4,11,12,14,32,12,76,12.67,16,2,4,-2,0,2,1,5,-4,4,8,2,2,29,18,0,1,1
7068,2007/6/14,23,18,19,11,28,22,11,18,19,22,23,28,1,121,20.17,31,3,3,0,0,0,5,1,4,5,7,2,2,17,7,0,2,2
7067,2007/6/12,11,13,23,6,21,17,6,11,13,17,21,23,11,91,15.17,21,5,1,4,4,0,3,3,0,4,6,0,0,17,5,1,1,3
7066,2007/6/10,32,33,11,24,16,5,5,11,16,24,32,33,8,121,20.17,21,3,3,0,1,2,3,3,0,6,9,1,1,28,8,0,0,3
7065,2007/6/7,21,19,31,25,7,4,4,7,19,21,25,31,7,107,17.83,27,5,1,4,4,0,4,2,2,5,8,0,0,27,12,0,1,1
7064,2007/6/5,21,9,2,23,6,16,2,6,9,16,21,23,16,77,12.83,27,3,3,0,1,1,2,4,-2,5,7,0,0,21,7,0,0,3
7063,2007/6/3,15,28,24,17,10,26,10,15,17,24,26,28,12,120,20,30,2,4,-2,1,2,4,2,2,6,5,0,0,18,7,0,1,1
7062,2007/5/31,30,8,17,20,33,29,8,17,20,29,30,33,9,137,22.83,27,3,3,0,0,0,5,1,4,5,6,1,1,25,9,0,1,1
7061,2007/5/29,7,11,20,6,23,1,1,6,7,11,20,23,5,68,11.33,18,4,2,2,1,0,2,4,-2,5,9,1,1,22,9,1,1,3
7060,2007/5/27,29,8,19,1,2,16,1,2,8,16,19,29,5,75,12.5,35,3,3,0,1,2,2,4,-2,5,10,1,1,28,10,2,2,2
7059,2007/5/24,4,1,3,6,29,7,1,3,4,6,7,29,14,50,8.33,30,4,2,2,2,1,1,5,-4,6,6,2,2,28,22,0,1,2
7058,2007/5/22,25,8,10,7,13,27,7,8,10,13,25,27,7,90,15,30,4,2,2,2,1,2,4,-2,5,7,1,1,20,12,0,0,1
7057,2007/5/20,19,11,18,20,21,5,5,11,18,19,20,21,9,94,15.67,24,4,2,2,1,0,4,2,2,5,7,3,1,16,7,0,1,2
7056,2007/5/17,32,21,31,14,17,29,14,17,21,29,31,32,12,144,24,24,4,2,2,3,0,5,1,4,5,8,1,1,18,8,0,1,2
7055,2007/5/15,28,29,22,2,6,11,2,6,11,22,28,29,2,98,16.33,28,2,4,-2,0,2,3,3,0,5,10,1,1,27,11,0,1,3
7054,2007/5/13,28,16,18,23,3,1,1,3,16,18,23,28,5,89,14.83,29,3,3,0,1,1,3,3,0,4,7,0,0,27,13,1,2,3
7053,2007/5/10,13,17,18,16,27,10,10,13,16,17,18,27,11,101,16.83,31,3,3,0,0,0,3,3,0,5,8,2,1,17,9,0,0,1
7052,2007/5/8,3,2,8,7,26,29,2,3,7,8,26,29,7,75,12.5,35,3,3,0,1,1,2,4,-2,6,8,2,2,27,18,0,2,2
7051,2007/5/6,14,33,3,27,26,16,3,14,16,26,27,33,13,119,19.83,29,3,3,0,1,2,3,3,0,4,8,1,1,30,11,0,0,2
7050,2007/5/3,25,13,18,5,1,8,1,5,8,13,18,25,2,70,11.67,30,4,2,2,1,0,2,4,-2,4,6,0,0,24,7,0,1,3
7049,2007/5/1,4,33,19,31,14,18,4,14,18,19,31,33,2,119,19.83,29,3,3,0,2,2,4,2,2,5,8,1,1,29,12,0,0,2
7048,2007/4/29,2,12,11,17,28,15,2,11,12,15,17,28,12,85,14.17,25,3,3,0,1,0,2,4,-2,5,9,1,1,26,11,1,1,2
7047,2007/4/26,4,23,16,2,18,30,2,4,16,18,23,30,6,93,15.5,23,1,5,-4,0,3,3,3,0,6,5,0,0,28,12,1,1,1
7046,2007/4/24,6,19,26,9,7,2,2,6,7,9,19,26,14,69,11.5,39,3,3,0,2,1,2,4,-2,4,8,1,1,24,10,0,0,2
7045,2007/4/22,28,12,30,21,18,1,1,12,18,21,28,30,10,110,18.33,20,2,4,-2,0,2,4,2,2,4,9,0,0,29,11,1,1,2
7044,2007/4/19,9,24,21,20,13,32,9,13,20,21,24,32,8,119,19.83,19,3,3,0,1,1,4,2,2,6,5,1,1,23,8,0,0,2
7043,2007/4/17,3,30,10,14,11,8,3,8,10,11,14,30,5,76,12.67,16,2,4,-2,0,2,1,5,-4,5,9,1,1,27,16,1,1,1
7042,2007/4/15,19,3,32,16,13,33,3,13,16,19,32,33,8,116,19.33,26,4,2,2,1,0,3,3,0,4,7,1,1,30,13,0,1,1
7041,2007/4/12,3,9,31,26,1,11,1,3,9,11,26,31,12,81,13.5,21,5,1,4,3,0,2,4,-2,4,8,0,0,30,15,0,0,1
7040,2007/4/10,19,30,14,13,24,15,13,14,15,19,24,30,10,115,19.17,25,3,3,0,1,1,3,3,0,5,6,2,1,17,6,0,2,1
7039,2007/4/8,27,24,7,6,29,19,6,7,19,24,27,29,1,112,18.67,42,4,2,2,2,0,4,2,2,4,9,1,1,23,12,0,1,1
7038,2007/4/5,11,30,21,3,14,19,3,11,14,19,21,30,5,98,16.33,18,4,2,2,2,0,3,3,0,5,7,0,0,27,9,1,1,2
7037,2007/4/3,23,10,11,31,16,33,10,11,16,23,31,33,16,124,20.67,14,4,2,2,2,0,3,3,0,4,10,1,1,23,8,1,2,1
7036,2007/4/1,3,21,23,14,30,31,3,14,21,23,30,31,10,122,20.33,12,4,2,2,1,0,4,2,2,4,8,1,1,28,11,1,1,2
7035,2007/3/29,31,1,29,12,8,4,1,4,8,12,29,31,6,85,14.17,25,3,3,0,1,2,2,4,-2,5,9,0,0,30,17,0,1,2
7034,2007/3/27,14,2,9,12,25,23,2,9,12,14,23,25,16,85,14.17,25,3,3,0,1,1,2,4,-2,5,8,0,0,23,9,0,0,2
7033,2007/3/25,18,4,3,17,11,28,3,4,11,17,18,28,9,81,13.5,31,3,3,0,1,1,3,3,0,5,7,2,2,25,10,0,1,2
7032,2007/3/22,8,16,32,24,4,30,4,8,16,24,30,32,16,114,19,24,0,6,-6,0,5,3,3,0,5,7,0,0,28,8,1,1,2
7031,2007/3/20,4,19,12,6,31,10,4,6,10,12,19,31,1,82,13.67,22,2,4,-2,1,3,2,4,-2,6,8,0,0,27,12,0,0,2
7030,2007/3/18,30,16,27,22,3,21,3,16,21,22,27,30,4,119,19.83,19,3,3,0,0,0,4,2,2,6,8,1,1,27,13,0,1,1
7029,2007/3/15,19,6,8,21,11,9,6,8,9,11,19,21,10,74,12.33,34,4,2,2,3,1,2,4,-2,4,5,1,1,15,8,1,1,3
7028,2007/3/13,3,20,13,30,8,29,3,8,13,20,29,30,11,103,17.17,23,3,3,0,0,0,3,3,0,4,7,1,1,27,9,0,1,2
7027,2007/3/11,24,22,3,9,27,2,2,3,9,22,24,27,11,87,14.5,27,3,3,0,1,1,3,3,0,5,10,1,1,25,13,0,0,3
7026,2007/3/8,16,4,29,14,26,1,1,4,14,16,26,29,10,90,15,30,2,4,-2,0,3,2,4,-2,4,4,0,0,28,10,0,2,1
7025,2007/3/6,18,26,3,22,16,23,3,16,18,22,23,26,3,108,18,28,2,4,-2,0,2,4,2,2,4,9,1,1,23,13,0,0,3
7024,2007/3/4,27,25,9,17,32,8,8,9,17,25,27,32,6,118,19.67,38,4,2,2,3,0,4,2,2,5,9,1,1,24,8,0,2,2
7023,2007/3/1,13,33,3,7,17,32,3,7,13,17,32,33,2,105,17.5,25,5,1,4,3,0,3,3,0,3,8,1,1,30,15,0,1,2
7022,2007/2/27,7,10,27,2,18,4,2,4,7,10,18,27,10,68,11.33,28,2,4,-2,0,2,2,4,-2,5,8,0,0,25,9,0,0,4
7021,2007/2/25,11,25,3,6,31,9,3,6,9,11,25,31,13,85,14.17,25,5,1,4,3,0,2,4,-2,5,7,0,0,28,14,1,1,3
7020,2007/2/15,20,5,31,10,28,16,5,10,16,20,28,31,14,110,18.33,20,2,4,-2,0,3,3,3,0,5,8,0,0,26,8,2,2,3
7019,2007/2/13,23,11,31,4,29,16,4,11,16,23,29,31,14,114,19,24,4,2,2,2,0,3,3,0,5,8,0,0,27,7,0,0,1
7018,2007/2/11,26,21,20,1,12,18,1,12,18,20,21,26,11,98,16.33,18,2,4,-2,0,2,4,2,2,5,8,1,1,25,11,0,0,1
7017,2007/2/8,25,9,24,10,5,32,5,9,10,24,25,32,14,105,17.5,25,3,3,0,1,1,3,3,0,5,8,2,2,27,14,0,0,2
7016,2007/2/6,18,1,22,20,26,33,1,18,20,22,26,33,5,120,20,20,2,4,-2,0,3,5,1,4,6,8,0,0,32,17,0,2,0
7015,2007/2/4,4,30,3,22,18,8,3,4,8,18,22,30,15,85,14.17,25,1,5,-4,0,4,3,3,0,5,8,1,1,27,10,0,0,0
7014,2007/2/1,24,13,16,1,20,26,1,13,16,20,24,26,9,100,16.67,20,2,4,-2,1,3,3,3,0,5,9,0,0,25,12,0,0,2
7013,2007/1/30,5,32,27,15,29,18,5,15,18,27,29,32,5,126,21,36,4,2,2,2,0,4,2,2,5,8,0,0,27,10,0,1,2
7012,2007/1/28,5,3,28,21,26,7,3,5,7,21,26,28,4,90,15,30,4,2,2,3,1,3,3,0,6,6,0,0,25,14,1,2,1
7011,2007/1/25,3,33,25,28,15,10,3,10,15,25,28,33,16,114,19,24,4,2,2,1,0,3,3,0,4,8,0,0,30,10,1,1,2
7010,2007/1/23,32,30,17,8,14,3,3,8,14,17,30,32,5,104,17.33,24,2,4,-2,0,2,3,3,0,6,10,0,0,29,13,1,1,2
7009,2007/1/21,15,4,27,2,25,14,2,4,14,15,25,27,15,87,14.5,27,3,3,0,2,2,2,4,-2,4,4,1,1,25,10,1,2,2
